gh_id,name,topics_from_lda
216602979,LIRICAL,"Protein kinase domain, 0.12012
codon, 0.00000
Utility library for structural bioinformatics., 0.00000"
199330464,wikidata_ontomatcher,"Wikidata, 0.03981
codon, 0.00000
Utility library for structural bioinformatics., 0.00000"
253207181,ro-crate-ruby,"information, 0.08174
data science, 0.00000
goods, 0.00000"
212556220,Misc_Training_scripts,"virtuoso, 0.04775
virtuoso, 0.02404
document, 0.00009"
155879756,FAIRifier,"database, 0.13379
textile, 0.00004
HyperText Markup Language, 0.00002"
90349931,elda,"document, 0.23375
textile, 0.00000
goods, 0.00000"
126633812,music-genre-classification,"music, 0.02499
music, 0.00000
cosmology, 0.00000"
173520377,probabilistic_nlg,"cosmology, 0.05597
music, 0.00000
catalogue, 0.00000"
103798851,DataStructures-Algorithms-InC,"computer science, 0.06299
data science, 0.00000
goods, 0.00000"
153249816,Music-Generation-Using-Deep-Learning,"music, 0.08406
data science, 0.00000
goods, 0.00000"
170129937,evaluomeR,"Wikimedia disambiguation page, 0.05756
data science, 0.00000
goods, 0.00000"
57412597,hemodonacion,"codon, 0.18455
protein, 0.00000
pipeline transport, 0.00000"
46532803,DnaCompress,"DNA, 0.05858
Utility library for structural bioinformatics., 0.00000
software, 0.00000"
95547920,trackhub-creator,"pipeline transport, 0.16304
textile, 0.00000
work, 0.00000"
94098106,libpogo,"library science, 0.03942
reference work, 0.03738
library science, 0.00000"
83849237,vimrc,"software, 0.03133
Utility library for structural bioinformatics., 0.00000
DNA, 0.00000"
83414669,cpp-playground,"mathematics, 0.10089
codon, 0.00000
Utility library for structural bioinformatics., 0.00000"
56680034,genenetwork2,"jQuery, 0.17359
textile, 0.00000
document, 0.00000"
231038084,MPCC,"Dow Jones Industrial Average, 0.05173
cell, 0.00000
Generalizability of epidemiological findings and public health decisions: an illustration from the Rochester Epidemiology Project, 0.00000"
14387064,pubannotation,"HyperText Markup Language, 0.06091
work, 0.00000
library science, 0.00000"
212904362,UniMath,"function, 0.06896
catalogue, 0.00000
Wikimedia disambiguation page, 0.00000"
113264497,neo4j-to-reasoner,"Wikimedia disambiguation page, 0.05045
cosmology, 0.00000
Wikimedia disambiguation page, 0.00000"
260889871,dl-reasoner,"Wikimedia disambiguation page, 0.16435
Wikimedia disambiguation page, 0.00000
work, 0.00000"
161862375,biohack18,"protein, 0.05685
codon, 0.00000
Utility library for structural bioinformatics., 0.00000"
171842501,biosample_jsonld,"library science, 0.13219
codon, 0.00000
cosmology, 0.00000"
257154635,bh20-seq-resource,"property, 0.07503
pipeline transport, 0.00000
textile, 0.00000"
260966843,odgi,"graffiti, 0.03924
codon, 0.00000
Wikimedia disambiguation page, 0.00000"
257545116,arvados,"textile, 0.17843
work, 0.00000
database, 0.00000"
150747903,termite_toolkit,"widget toolkit, 0.05759
codon, 0.00000
Utility library for structural bioinformatics., 0.00000"
151696606,JavaTermiteStarter,"service, 0.03091
widget toolkit, 0.00000
protein, 0.00000"
126086017,cwltool,"work, 0.05929
Wikimedia disambiguation page, 0.00000
property, 0.00000"
150911020,cwl-tes-temp,"Wikimedia disambiguation page, 0.07382
codon, 0.00000
Utility library for structural bioinformatics., 0.00000"
83817036,mmtf-cpp,"protein, 0.05087
Wikimedia disambiguation page, 0.00000
HyperText Markup Language, 0.00000"
254755549,covid-19-Annotations-on-Structures,"protein, 0.07934
graffiti, 0.00000
codon, 0.00000"
3103186,php-lib,"Utility library for structural bioinformatics., 0.01877
library science, 0.00000
system, 0.00000"
3103225,bio2rdf-scripts,"textile, 0.26935
goods, 0.00000
data science, 0.00000"
22713247,aida,"film, 0.02789
virtuoso, 0.00000
pipeline transport, 0.00000"
21820701,memetools,"catalogue, 0.04883
list, 0.03143
Wikimedia disambiguation page, 0.00003"
34799405,owlapi,"goods, 0.28551
operation, 0.19025
Wikidata, 0.00000"
42526998,pythonontologysearch,"minute, 0.05231
jQuery, 0.00000
minute, 0.00000"
238953196,my-react-form,"software, 0.06055
codon, 0.00000
Utility library for structural bioinformatics., 0.00000"
157134523,python-ecology-lesson-es-1,"mathematics, 0.04097
document, 0.00000
minute, 0.00000"
193684604,opengovernment,"document, 0.08755
textile, 0.00001
HyperText Markup Language, 0.00000"
33901216,bioscholar-v1.0,"system, 0.24100
Wikimedia disambiguation page, 0.00000
document, 0.00000"
13978110,ProvToolbox,"property, 0.08902
goods, 0.00000
data science, 0.00000"
258719463,x-spreadsheet,"cell, 0.22748
software, 0.00000
minute, 0.00000"
113915480,expert-pancake-aspnetcoreapp,"minute, 0.08224
minute, 0.00000
document, 0.00000"
223272173,generalizability,"Generalizability of epidemiological findings and public health decisions: an illustration from the Rochester Epidemiology Project, 0.03367
codon, 0.00000
jQuery, 0.00000"
248895581,Data-Science--Cheat-Sheet,"data science, 0.32277
pipeline transport, 0.00000
library science, 0.00000"
223627473,Basketball_Analytics,"study, 0.05632
document, 0.00000
jQuery, 0.00000"
